Constituency,Standing Down,GE2017 Share,GE2017 Position,Implied Support,GE2017 Share,GE2017 Position,Source
Pontypridd,GRN,N/A,N/A,PLC,10.3%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Portsmouth South,GRN,1.6%,5th,LDM,17.3%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Richmond Park,GRN,N/A,N/A,LDM,45.1%,2nd,Confirmed (Greens had a vote)
Romsey & Southampton North,GRN,1.9%,4th,LDM,21.3%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Rushcliffe,GRN,2.8%,4th,LDM,4.7%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Scarborough & Whitby,GRN,1.8%,5th,LAB,41.6%,2nd,https://www.thescarboroughnews.co.uk/news/politics/green-party-won-t-be-fielding-candidate-for-scarborough-and-whitby-in-december-12-general-election-1-10077834
South Cambridgeshire,GRN,2.3%,4th,LDM,18.6%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
South East Cambridgeshire,GRN,N/A,N/A,LDM,19.0%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
South West Surrey,GRN,N/A,N/A,LDM,9.9%,4th ,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Southport,GRN,N/A,N/A,LDM,26.4%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Stroud,LDM,3.2%,3rd,GRN,2.2%,4th,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Taunton Deane,GRN,1.8%,5th,LDM,27.7%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Thornberry & Yate,GRN,1.2%,4th,LDM,31.4%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Totnes,GRN,4.2%,4th,LDM,12.9%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Tunbridge Wells,GRN,2.7%,5th,LDM,9.9%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Twickenham,GRN,N/A,N/A,LDM,52.8%,1st,Confirmed (Greens had a vote)
Vale of Glamorgan,LDM,1.9%,4th,GRN,0.8%,6th,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Vale of Glamorgan,PLC,4.3%,3rd,GRN,0.8%,6th,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Wantage,GRN,2.4%,4th,LDM,14.5%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Warrington South,GRN,N/A,N/A,LDM,5.4%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Watford,GRN,1.2%,5th,LDM,9.1%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Wells,GRN,N/A,N/A,LDM,37.6%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
West Aberdeenshire and Kincardine,GRN,N/A,N/A,SNP,32.5%,2nd,https://twitter.com/AberdeenGreens/status/1193528520795918337/photo/1
Westmorland & Lonsdale,GRN,N/A,N/A,LDM,48.5%,1st,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Wimbledon,GRN,2.4%,4th,LDM,14.5%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Winchester,GRN,1.5%,4th,LDM,34.5%,2nd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Witney,GRN,1.7%,4th,LDM,20.4%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Ynys Mon,GRN,N/A,N/A,PLC,27.4%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
Ynys Môn,LDM,1.3%,5th,PLC,27.4%,3rd,https://twitter.com/ElganPowysLDR/status/1190582291875139584
York Outer,GRN,1.9%,4th,LDM,10.3%,3rd,https://twitter.com/adampayne26/status/1192381242165137410?s=19
